event_name,event_date,bonus_type,fighter_name,source
UFC 311: Makhachev vs. Moicano,2025-01-18,FOTN,Merab Dvalishvili,wikipedia
UFC 311: Makhachev vs. Moicano,2025-01-18,FOTN,Umar Nurmagomedov,wikipedia
UFC 311: Makhachev vs. Moicano,2025-01-18,POTN,Jailton Almeida,wikipedia
UFC 311: Makhachev vs. Moicano,2025-01-18,POTN,Jiří Procházka,wikipedia
UFC Fight Night: Adesanya vs. Imavov,2025-02-01,FOTN,Said Nurmagomedov,wikipedia
UFC Fight Night: Adesanya vs. Imavov,2025-02-01,FOTN,Vinicius Oliveira,wikipedia
UFC Fight Night: Adesanya vs. Imavov,2025-02-01,POTN,Bogdan Grad,wikipedia
UFC Fight Night: Adesanya vs. Imavov,2025-02-01,POTN,Nassourdine Imavov,wikipedia
UFC 312: Du Plessis vs. Strickland 2,2025-02-08,FOTN,Kody Steele,wikipedia
UFC 312: Du Plessis vs. Strickland 2,2025-02-08,FOTN,Rong Zhu,wikipedia
UFC 312: Du Plessis vs. Strickland 2,2025-02-08,POTN,Quillan Salkilld,wikipedia
UFC 312: Du Plessis vs. Strickland 2,2025-02-08,POTN,Tallison Teixeira,wikipedia
UFC Fight Night: Cannonier vs. Rodrigues,2025-02-15,FOTN,Gregory Rodrigues,wikipedia
UFC Fight Night: Cannonier vs. Rodrigues,2025-02-15,FOTN,Jared Cannonier,wikipedia
UFC Fight Night: Cannonier vs. Rodrigues,2025-02-15,POTN,Edmen Shahbazyan,wikipedia
UFC Fight Night: Cannonier vs. Rodrigues,2025-02-15,POTN,Gabriel Bonfim,wikipedia
UFC Fight Night: Cejudo vs. Song,2025-02-22,FOTN,Alonzo Menifield,wikipedia
UFC Fight Night: Cejudo vs. Song,2025-02-22,FOTN,Julius Walker,wikipedia
UFC Fight Night: Cejudo vs. Song,2025-02-22,POTN,Jean Silva,wikipedia
UFC Fight Night: Cejudo vs. Song,2025-02-22,POTN,Ricky Simón,wikipedia
UFC Fight Night: Kape vs. Almabayev,2025-03-01,FOTN,Esteban Ribovics,wikipedia
UFC Fight Night: Kape vs. Almabayev,2025-03-01,FOTN,Nasrat Haqparast,wikipedia
UFC Fight Night: Kape vs. Almabayev,2025-03-01,POTN,Manel Kape,wikipedia
UFC Fight Night: Kape vs. Almabayev,2025-03-01,POTN,Mário Pinto,wikipedia
UFC 313: Pereira vs. Ankalaev,2025-03-08,FOTN,Justin Gaethje,wikipedia
UFC 313: Pereira vs. Ankalaev,2025-03-08,FOTN,Rafael Fiziev,wikipedia
UFC 313: Pereira vs. Ankalaev,2025-03-08,POTN,Ignacio Bahamondes,wikipedia
UFC 313: Pereira vs. Ankalaev,2025-03-08,POTN,Maurício Ruffy,wikipedia
UFC Fight Night: Vettori vs. Dolidze 2,2025-03-15,POTN,André Lima,wikipedia
UFC Fight Night: Vettori vs. Dolidze 2,2025-03-15,POTN,Carli Judice,wikipedia
UFC Fight Night: Vettori vs. Dolidze 2,2025-03-15,POTN,Carlos Vera,wikipedia
UFC Fight Night: Vettori vs. Dolidze 2,2025-03-15,POTN,Priscila Cachoeira,wikipedia
UFC Fight Night: Edwards vs. Brady,2025-03-22,POTN,Alexia Thainara,wikipedia
UFC Fight Night: Edwards vs. Brady,2025-03-22,POTN,Kevin Holland,wikipedia
UFC Fight Night: Edwards vs. Brady,2025-03-22,POTN,Sean Brady,wikipedia
UFC Fight Night: Edwards vs. Brady,2025-03-22,POTN,Shauna Bannon,wikipedia
UFC Fight Night: Moreno vs. Erceg,2025-03-29,POTN,Ateba Gautier,wikipedia
UFC Fight Night: Moreno vs. Erceg,2025-03-29,POTN,David Martínez,wikipedia
UFC Fight Night: Moreno vs. Erceg,2025-03-29,POTN,Manuel Torres,wikipedia
UFC Fight Night: Moreno vs. Erceg,2025-03-29,POTN,Édgar Cháirez,wikipedia
UFC Fight Night: Emmett vs. Murphy,2025-04-05,POTN,Dione Barbosa,wikipedia
UFC Fight Night: Emmett vs. Murphy,2025-04-05,POTN,Lee Chang-ho,wikipedia
UFC Fight Night: Emmett vs. Murphy,2025-04-05,POTN,Ode' Osbourne,wikipedia
UFC Fight Night: Emmett vs. Murphy,2025-04-05,POTN,Rhys McKee,wikipedia
UFC 314: Volkanovski vs. Lopes,2025-04-12,FOTN,Alexander Volkanovski,wikipedia
UFC 314: Volkanovski vs. Lopes,2025-04-12,FOTN,Diego Lopes,wikipedia
UFC 314: Volkanovski vs. Lopes,2025-04-12,POTN,Jean Silva,wikipedia
UFC 314: Volkanovski vs. Lopes,2025-04-12,POTN,Paddy Pimblett,wikipedia
UFC Fight Night: Sandhagen vs. Figueiredo,2025-05-03,POTN,Azamat Bekoev,wikipedia
UFC Fight Night: Sandhagen vs. Figueiredo,2025-05-03,POTN,Cory Sandhagen,wikipedia
UFC Fight Night: Sandhagen vs. Figueiredo,2025-05-03,POTN,Quang Le,wikipedia
UFC Fight Night: Sandhagen vs. Figueiredo,2025-05-03,POTN,Reinier de Ridder,wikipedia
UFC 315: Muhammad vs. Della Maddalena,2025-05-10,FOTN,Belal Muhammad,wikipedia
UFC 315: Muhammad vs. Della Maddalena,2025-05-10,FOTN,Jack Della Maddalena,wikipedia
UFC 315: Muhammad vs. Della Maddalena,2025-05-10,POTN,Jasmine Jasudavicius,wikipedia
UFC 315: Muhammad vs. Della Maddalena,2025-05-10,POTN,Marc-André Barriault,wikipedia
UFC Fight Night: Burns vs. Morales,2025-05-17,FOTN,Julian Erosa,wikipedia
UFC Fight Night: Burns vs. Morales,2025-05-17,FOTN,Melquizael Costa,wikipedia
UFC Fight Night: Burns vs. Morales,2025-05-17,POTN,Denise Gomes,wikipedia
UFC Fight Night: Burns vs. Morales,2025-05-17,POTN,Michael Morales,wikipedia
UFC Fight Night: Blanchfield vs. Barber,2025-05-31,FOTN,Alice Ardelean,wikipedia
UFC Fight Night: Blanchfield vs. Barber,2025-05-31,FOTN,Rayanne dos Santos,wikipedia
UFC Fight Night: Blanchfield vs. Barber,2025-05-31,POTN,Jordan Leavitt,wikipedia
UFC Fight Night: Blanchfield vs. Barber,2025-05-31,POTN,Ramiz Brahimaj,wikipedia
UFC 316: Dvalishvili vs. O'Malley 2,2025-06-07,POTN,Kayla Harrison,wikipedia
UFC 316: Dvalishvili vs. O'Malley 2,2025-06-07,POTN,Kevin Holland,wikipedia
UFC 316: Dvalishvili vs. O'Malley 2,2025-06-07,POTN,Merab Dvalishvili,wikipedia
UFC 316: Dvalishvili vs. O'Malley 2,2025-06-07,POTN,Yoo Joo-sang,wikipedia
UFC Fight Night: Hill vs. Rountree Jr.,2025-06-21,FOTN,Nazim Sadykhov,wikipedia
UFC Fight Night: Hill vs. Rountree Jr.,2025-06-21,FOTN,Nikolas Motta,wikipedia
UFC Fight Night: Hill vs. Rountree Jr.,2025-06-21,POTN,Nazim Sadykhov,wikipedia
UFC Fight Night: Hill vs. Rountree Jr.,2025-06-21,POTN,Nikolas Motta,wikipedia
UFC 317: Topuria vs. Oliveira,2025-06-28,FOTN,Brandon Royval,wikipedia
UFC 317: Topuria vs. Oliveira,2025-06-28,FOTN,Joshua Van,wikipedia
UFC 317: Topuria vs. Oliveira,2025-06-28,POTN,Gregory Rodrigues,wikipedia
UFC 317: Topuria vs. Oliveira,2025-06-28,POTN,Ilia Topuria,wikipedia
UFC Fight Night: Lewis vs. Teixeira,2025-07-12,FOTN,Morgan Charrière,wikipedia
UFC Fight Night: Lewis vs. Teixeira,2025-07-12,FOTN,Nate Landwehr,wikipedia
UFC Fight Night: Lewis vs. Teixeira,2025-07-12,POTN,Fatima Kline,wikipedia
UFC Fight Night: Lewis vs. Teixeira,2025-07-12,POTN,Valter Walker,wikipedia
UFC 318: Holloway vs. Poirier 3,2025-07-19,FOTN,Brendan Allen,wikipedia
UFC 318: Holloway vs. Poirier 3,2025-07-19,FOTN,Marvin Vettori,wikipedia
UFC 318: Holloway vs. Poirier 3,2025-07-19,POTN,Ateba Gautier,wikipedia
UFC 318: Holloway vs. Poirier 3,2025-07-19,POTN,Carli Judice,wikipedia
UFC 318: Holloway vs. Poirier 3,2025-07-19,POTN,Islam Dulatov,wikipedia
UFC Fight Night: Dolidze vs. Hernandez,2025-08-09,POTN,Anthony Hernandez,wikipedia
UFC Fight Night: Dolidze vs. Hernandez,2025-08-09,POTN,Christian Leroy Duncan,wikipedia
UFC Fight Night: Dolidze vs. Hernandez,2025-08-09,POTN,Elijah Smith,wikipedia
UFC Fight Night: Dolidze vs. Hernandez,2025-08-09,POTN,Joselyne Edwards,wikipedia
UFC 319: Du Plessis vs. Chimaev,2025-08-16,POTN,Carlos Prates,wikipedia
UFC 319: Du Plessis vs. Chimaev,2025-08-16,POTN,Khamzat Chimaev,wikipedia
UFC 319: Du Plessis vs. Chimaev,2025-08-16,POTN,Lerone Murphy,wikipedia
UFC 319: Du Plessis vs. Chimaev,2025-08-16,POTN,Tim Elliott,wikipedia
UFC Fight Night: Walker vs. Zhang,2025-08-23,POTN,Charles Johnson,wikipedia
UFC Fight Night: Walker vs. Zhang,2025-08-23,POTN,Johnny Walker,wikipedia
UFC Fight Night: Walker vs. Zhang,2025-08-23,POTN,Kyle Daukaus,wikipedia
UFC Fight Night: Walker vs. Zhang,2025-08-23,POTN,Uran Satybaldiev,wikipedia
UFC Fight Night: Imavov vs. Borralho,2025-09-06,POTN,Ante Delija,wikipedia
UFC Fight Night: Imavov vs. Borralho,2025-09-06,POTN,Benoît Saint Denis,wikipedia
UFC Fight Night: Imavov vs. Borralho,2025-09-06,POTN,Kauê Fernandes,wikipedia
UFC Fight Night: Imavov vs. Borralho,2025-09-06,POTN,Mason Jones,wikipedia
UFC Fight Night: Lopes vs. Silva,2025-09-13,FOTN,Diego Lopes,wikipedia
UFC Fight Night: Lopes vs. Silva,2025-09-13,FOTN,Jean Silva,wikipedia
UFC Fight Night: Lopes vs. Silva,2025-09-13,POTN,Diego Lopes,wikipedia
UFC Fight Night: Lopes vs. Silva,2025-09-13,POTN,Santiago Luna,wikipedia
UFC Fight Night: Ulberg vs. Reyes,2025-09-27,POTN,Brando Peričić,wikipedia
UFC Fight Night: Ulberg vs. Reyes,2025-09-27,POTN,Carlos Ulberg,wikipedia
UFC Fight Night: Ulberg vs. Reyes,2025-09-27,POTN,Jimmy Crute,wikipedia
UFC Fight Night: Ulberg vs. Reyes,2025-09-27,POTN,Tom Nolan,wikipedia
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,FOTN,Jiří Procházka,wikipedia
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,FOTN,Khalil Rountree Jr,wikipedia
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,POTN,Alex Pereira,wikipedia
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,POTN,Jiří Procházka,wikipedia
UFC 320: Ankalaev vs. Pereira 2,2025-10-04,POTN,Joe Pyfer,wikipedia
UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,POTN,Beatriz Mesquita,wikipedia
UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,POTN,Charles Oliveira,wikipedia
UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,POTN,Julia Polastri,wikipedia
UFC Fight Night: Oliveira vs. Gamrot,2025-10-11,POTN,Vitor Petrino,wikipedia
UFC 321: Aspinall vs. Gane,2025-10-25,FOTN,Mateusz Rębecki,wikipedia
UFC 321: Aspinall vs. Gane,2025-10-25,FOTN,Ľudovít Klein,wikipedia
UFC 321: Aspinall vs. Gane,2025-10-25,POTN,Quillan Salkilld,wikipedia
UFC 321: Aspinall vs. Gane,2025-10-25,POTN,Valter Walker,wikipedia
UFC Fight Night: Garcia vs. Onama,2025-11-01,POTN,Allan Nascimento,wikipedia
UFC Fight Night: Garcia vs. Onama,2025-11-01,POTN,Donte Johnson,wikipedia
UFC Fight Night: Garcia vs. Onama,2025-11-01,POTN,Steve Garcia,wikipedia
UFC Fight Night: Garcia vs. Onama,2025-11-01,POTN,Waldo Cortes-Acosta,wikipedia
UFC Fight Night: Bonfim vs. Brown,2025-11-08,POTN,Christian Leroy Duncan,wikipedia
UFC Fight Night: Bonfim vs. Brown,2025-11-08,POTN,Gabriel Bonfim,wikipedia
UFC Fight Night: Bonfim vs. Brown,2025-11-08,POTN,Josh Hokit,wikipedia
UFC Fight Night: Bonfim vs. Brown,2025-11-08,POTN,Zachary Reese,wikipedia
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,POTN,Benoît Saint Denis,wikipedia
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,POTN,Bo Nickal,wikipedia
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,POTN,Carlos Prates,wikipedia
UFC 322: Della Maddalena vs. Makhachev,2025-11-15,POTN,Michael Morales,wikipedia
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,POTN,Arman Tsarukyan,wikipedia
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,POTN,Kyoji Horiguchi,wikipedia
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,POTN,Luke Riley,wikipedia
UFC Fight Night: Tsarukyan vs. Hooker,2025-11-22,POTN,Waldo Cortes-Acosta,wikipedia
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,FOTN,Merab Dvalishvili,wikipedia
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,FOTN,Petr Yan,wikipedia
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,POTN,Iwo Baraniewski,wikipedia
UFC 323: Dvalishvili vs. Yan 2,2025-12-06,POTN,Manuel Torres,wikipedia
UFC Fight Night: Royval vs. Kape,2025-12-13,FOTN,Sean Sharaf,wikipedia
UFC Fight Night: Royval vs. Kape,2025-12-13,FOTN,Steven Asplund,wikipedia
UFC Fight Night: Royval vs. Kape,2025-12-13,POTN,Kevin Vallejos,wikipedia
